盛行風向 (度) - 南丫島
Prevailing Wind Direction (°) - Lamma Island
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2011,8,1,220,C
2011,8,2,220,C
2011,8,3,210,C
2011,8,4,220,C
2011,8,5,210,C
2011,8,6,220,C
2011,8,7,210,C
2011,8,8,220,C
2011,8,9,210,C
2011,8,10,090,C
2011,8,11,120,C
2011,8,12,100,C
2011,8,13,220,C
2011,8,14,220,C
2011,8,15,220,C
2011,8,16,210,C
2011,8,17,090,C
2011,8,18,090,C
2011,8,19,080,C
2011,8,20,090,C
2011,8,21,110,C
2011,8,22,100,C
2011,8,23,220,C
2011,8,24,220,C
2011,8,25,320,C
2011,8,26,090,C
2011,8,27,080,C
2011,8,28,290,C
2011,8,29,310,C
2011,8,30,290,C
2011,8,31,300,C
2011,9,1,310,C
2011,9,2,090,C
2011,9,3,090,C
2011,9,4,080,C
2011,9,5,090,#
2011,9,6,090,C
2011,9,7,090,C
2011,9,8,090,C
2011,9,9,090,C
2011,9,10,090,C
2011,9,11,090,C
2011,9,12,090,C
2011,9,13,100,C
2011,9,14,100,C
2011,9,15,090,C
2011,9,16,090,C
2011,9,17,090,C
2011,9,18,090,C
2011,9,19,090,C
2011,9,20,330,C
2011,9,21,320,C
2011,9,22,050,#
2011,9,23,070,C
2011,9,24,050,C
2011,9,25,060,C
2011,9,26,080,C
2011,9,27,090,C
2011,9,28,360,C
2011,9,29,090,C
2011,9,30,100,C
2011,10,1,090,C
2011,10,2,360,C
2011,10,3,360,C
2011,10,4,060,C
2011,10,5,060,C
2011,10,6,080,C
2011,10,7,090,C
2011,10,8,090,C
2011,10,9,090,C
2011,10,10,070,C
2011,10,11,090,C
2011,10,12,090,C
2011,10,13,090,C
2011,10,14,090,C
2011,10,15,320,C
2011,10,16,320,C
2011,10,17,080,#
2011,10,18,090,C
2011,10,19,090,C
2011,10,20,080,C
2011,10,21,080,C
2011,10,22,090,C
2011,10,23,090,C
2011,10,24,100,C
2011,10,25,080,C
2011,10,26,070,C
2011,10,27,090,C
2011,10,28,090,C
2011,10,29,090,C
2011,10,30,080,C
2011,10,31,090,C
2011,11,1,090,C
2011,11,2,090,C
2011,11,3,090,C
2011,11,4,090,C
2011,11,5,090,C
2011,11,6,080,C
2011,11,7,070,C
2011,11,8,060,C
2011,11,9,340,C
2011,11,10,320,C
2011,11,11,320,C
2011,11,12,090,C
2011,11,13,110,C
2011,11,14,090,C
2011,11,15,090,C
2011,11,16,090,C
2011,11,17,080,C
2011,11,18,210,C
2011,11,19,320,C
2011,11,20,090,C
2011,11,21,080,C
2011,11,22,350,C
2011,11,23,360,C
2011,11,24,080,C
2011,11,25,080,C
2011,11,26,070,C
2011,11,27,080,C
2011,11,28,090,C
2011,11,29,090,C
2011,11,30,090,C
2011,12,1,320,C
2011,12,2,320,C
2011,12,3,320,C
2011,12,4,090,C
2011,12,5,090,C
2011,12,6,080,C
2011,12,7,320,C
2011,12,8,320,C
2011,12,9,330,C
2011,12,10,330,C
2011,12,11,330,C
2011,12,12,320,C
2011,12,13,320,C
2011,12,14,090,C
2011,12,15,330,C
2011,12,16,350,#
2011,12,17,080,C
2011,12,18,070,C
2011,12,19,080,#
2011,12,20,100,C
2011,12,21,090,C
2011,12,22,360,C
2011,12,23,350,C
2011,12,24,360,C
2011,12,25,360,C
2011,12,26,080,C
2011,12,27,090,C
2011,12,28,120,C
2011,12,29,090,C
2011,12,30,090,C
2011,12,31,090,C
2012,1,1,090,C
2012,1,2,090,C
2012,1,3,090,C
2012,1,4,340,C
2012,1,5,340,C
2012,1,6,320,C
2012,1,7,330,C
2012,1,8,320,C
2012,1,9,320,C
2012,1,10,090,C
2012,1,11,350,C
2012,1,12,050,C
2012,1,13,100,C
2012,1,14,090,C
2012,1,15,320,C
2012,1,16,300,C
2012,1,17,090,C
2012,1,18,080,C
2012,1,19,090,#
2012,1,20,090,C
2012,1,21,090,C
2012,1,22,320,C
2012,1,23,330,C
2012,1,24,320,C
2012,1,25,320,C
2012,1,26,080,C
2012,1,27,330,C
2012,1,28,330,C
2012,1,29,320,C
2012,1,30,320,C
2012,1,31,320,C
2012,2,1,090,C
2012,2,2,090,C
2012,2,3,090,C
2012,2,4,090,C
2012,2,5,090,C
2012,2,6,100,C
2012,2,7,320,C
2012,2,8,360,C
2012,2,9,090,C
2012,2,10,320,C
